編號,更多資料,學名,中文名,中文別名,英文名,英文別名,科,習性,search_term
14,進入,Alangium chinense,八角楓,水芒樹,Chinese-Alangium,NoInfo,ALANGIACEAE八角楓科,喬木_灌木,Alangium chinense
83,進入,Cerbera manghas,海芒果,海果,Cerbera-Sea-Mango,NoInfo,APOCYNACEAE夾竹桃科,喬木,Cerbera manghas
334,進入,Rhus chinensis,鹽膚木,沒資料,Sumac,NoInfo,ANACARDIACEAE漆樹科,喬木,Rhus chinensis
335,進入,Rhus hypoleuca,白背鹽膚木,白背漆,Sumac,NoInfo,ANACARDIACEAE漆樹科,喬木,Rhus hypoleuca
473,進入,Ilex rotunda,鐵冬青,沒資料,Chinese Holly,Panaceae Holly,AQUIFOLIACEAE冬青科,喬木,Ilex rotunda
516,進入,Plumeria rubra var. sp.(TBC),雞蛋花(黃色),沒資料,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,落葉小喬木,Plumeria rubra var sp
701,進入,Odontonema strictum,紅樓花,沒資料,NoInfo,NoInfo,ACANTHACEAE爵床科,灌木,Odontonema strictum
701,進入,Odontonema strictum,紅樓花,沒資料,NoInfo,NoInfo,ACANTHACEAE爵床科,灌木,Odontonema strictum
703,進入,Thunbergia erecta,硬枝老鴉嘴,沒資料,Bush Thunbergia,NoInfo,ACANTHACEAE爵床科,灌木,Thunbergia erecta
707,進入,Pachystachys lutea,黃鴨咀花,金苞花,Lollypops,Lollypes,ACANTHACEAE爵床科,灌木,Pachystachys lutea
709,進入,Eranthemum nervosum,可愛花,藍花仔,Blue_Eranthemum,NoInfo,ACANTHACEAE爵床科,灌木,Eranthemum nervosum
719,進入,Cordyline fruticosa,朱蕉,紅葉鐵樹,"Tree-of-King,Iron Plant",NoInfo,AGAVACEAE龍舌蘭科,灌木,Cordyline fruticosa
723,進入,Rhus succedanea,野漆樹,木蠟樹,Wax Tree,NoInfo,ANACARDIACEAE漆樹科,落葉灌木,Rhus succedanea
729,進入,Uvaria macrophylla,紫玉盤,沒資料,Uvaria,NoInfo,ANNONACEAE番荔枝科,灌木,Uvaria macrophylla
730,進入,Uvaria grandiflora,大花紫玉盤,山椒,Large-flowered Uvaria,NoInfo,ANNONACEAE番荔枝科,灌木,Uvaria grandiflora
731,進入,Desmos chinensis,假鷹爪,酒餅葉,Desmos,NoInfo,ANNONACEAE番荔枝科,灌木,Desmos chinensis
732,進入,Allamanda cathartica,軟枝黃蟬,沒資料,Allamanda,Common_Allamanda,APOCYNACEAE夾竹桃科,灌木,Allamanda cathartica
733,進入,Nerium oleander,夾竹桃(重瓣),沒資料,Oleander,Common_Oleander,APOCYNACEAE夾竹桃科,灌木,Nerium oleander
734,進入,Tabernaemontana divaricata,狗牙花,豆腐花_白狗花_獅子花,Crepe Jasmine,Common_Tabernaemontana,APOCYNACEAE夾竹桃科,灌木,Tabernaemontana divaricata
739,進入,Catharanthus roseus,長春花,沒資料,Periwinkle,Rose_Periwinkle,APOCYNACEAE夾竹桃科,灌木,Catharanthus roseus
742,進入,Allamanda schottii,黃蟬,硬枝黃蟬,Small_Allamanda,Oleander_Allamanda,APOCYNACEAE夾竹桃科,灌木,Allamanda schottii
743,進入,Rauvolfia verticillata,蘿芙木,沒資料,Devil-pepper,Common_Devil-pepper,APOCYNACEAE夾竹桃科,灌木,Rauvolfia verticillata
745,進入,Ilex pubescens,毛冬青(雌花),沒資料,Downy_Holly,NoInfo,AQUIFOLIACEAE冬青科,灌木,Ilex pubescens
746,進入,Ilex asprella,梅葉冬青(雌花),崗梅_點秤星,Rough-leaved_Holly,Plum-leaved_Holly,AQUIFOLIACEAE冬青科,灌木,Ilex asprella
747,進入,Dieffenbachia seguine,花葉萬年青,沒資料,Dieffenbachia,NoInfo,ARACEAE天南星科,灌木_草本,Dieffenbachia seguine
748,進入,Monstera deliciosa,龜背竹,蓬來蕉,Ceriman,NoInfo,ARACEAE天南星科,灌木,Monstera deliciosa
800,進入,Scindapsus aureus,黃金葛,沒資料,NoInfo,NoInfo,ARACEAE天南星科,多年生攀藤,Scindapsus aureus
987,進入,Asystasia micrantha,小花十萬錯,小花寬葉馬偕花,NoInfo,NoInfo,ACANTHACEAE爵床科,草本,Asystasia micrantha
994,進入,Alocasia macrorrhizos,海芋,痕芋頭_野芋,Giant Alocasia,Alocasia,ARACEAE天南星科,多年生草本,Alocasia macrorrhizos
1077,進入,Alternanthera dentata,紅龍莧,沒資料,NoInfo,NoInfo,AMARANTHACEAE莧科,草本,Alternanthera dentata
1151,進入,Megaskepasma erythrochlamys,赤苞花(香港沒收錄),沒資料,NoInfo,NoInfo,ACANTHACEAE爵床科,灌木,Megaskepasma erythrochlamys
1210,進入,Plumeria rubra L.,紅雞蛋花,沒資料,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,小喬木,Plumeria rubra L
1312,進入,Beaumontia grandiflora,清明花,比蒙藤,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,藤狀灌木,Beaumontia grandiflora
1376,進入,Celosia argentea,青葙,野雞冠,Wild Coxcomb,Red-fox,AMARANTHACEAE莧科,草本,Celosia argentea
1849,進入,Achyranthes aspera,土牛膝_倒扣草,沒資料,Common Achyranthes,NoInfo,AMARANTHACEAE莧科,草本,Achyranthes aspera
1878,進入,Amaranthus viridis L.,綠莧,野莧_假莧菜_皺果莧,Green_Amaranth,NoInfo,AMARANTHACEAE莧科,草本,Amaranthus viridis L
1925,進入,Pothos chinensis,石柑子,石柑,Rock_Vine,NoInfo,ARACEAE天南星科,草本,Pothos chinensis
2202,進入,Ruellia coerulea,蘭花草,翠蘆莉_人字草,NoInfo,NoInfo,ACANTHACEAE爵床科,草本,Ruellia coerulea
2242,進入,Thunbergia alata,翼葉老鴉嘴_黑眼花,沒資料,Black-eyed Susan,NoInfo,ACANTHACEAE爵床科,草本,Thunbergia alata
2301,進入,Mandevilla sanderi,飄香藤,沒資料,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,攀援,Mandevilla sanderi
2324,進入,Gomphrena globosa,千日紅,百日紅_日日紅,Globe_Amaranth,NoInfo,AMARANTHACEAE莧科,草本,Gomphrena globosa
2344,進入,Thunbergia grandiflora,大鄧伯花,大花老鴉嘴,Large-flowered Thunbergia,NoInfo,ACANTHACEAE爵床科,草本,Thunbergia grandiflora
2407,進入,Sansevieria trifasciata,虎尾蘭,沒資料,Snake_Plant,NoInfo,AGAVACEAE龍舌蘭科,草本,Sansevieria trifasciata
2409,進入,Spathiphyllum floribundum,白鶴芋,沒資料,Snow Flower,NoInfo,ARACEAE天南星科,草本,Spathiphyllum floribundum
2462,進入,Philodendron xanadu,佛手蔓綠絨,沒資料,NoInfo,NoInfo,ARACEAE天南星科,草本,Philodendron xanadu
2531,進入,Anthurium andraeanum Linden,花燭,沒資料,Flamingo-lily,Oil-cloth_Flower,ARACEAE天南星科,草本,Anthurium andraeanum Linden
2555,進入,Syngonium podophyllum,合果芋,長柄合果芋,African_Evergreen,Syngonium,ARACEAE天南星科,草本,Syngonium podophyllum
2708,進入,Echinodorus grandiflorus,長象耳草(香港沒收錄),大花皇冠,NoInfo,NoInfo,ALISMATACEAE澤瀉科,多年水生草本,Echinodorus grandiflorus
2710,進入,Allamanda violacea,紫蟬,紫花黃蟬,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,藤本,Allamanda violacea
